target_id,cuda_success,curobo_success,cuda_pos_err_mm,curobo_pos_err_mm,cuda_rot_err_deg,curobo_rot_err_deg,cuda_near_limit,curobo_near_limit,winner_quality,failure_type
826,1,1,0.482093755393,3.719396948471359e-05,0.000548848956201,4.182619578303747e-06,0,0,cuRobo,both_success
827,1,1,0.0652312464235,6.133323431452413e-05,0.00430537065462,2.4148365394514667e-06,0,0,cuRobo,both_success
828,1,0,0.0894110686916,4.922311685142742,0.0204375924869,1.2395282836353823,0,0,CUDA,cuda_success_curobo_fail
829,1,1,0.662177546175,0.0002694596866189788,0.31325341789,5.399738656763834e-06,0,0,cuRobo,both_success
830,1,1,0.230085408982,0.008879142170993367,0.0450306482349,0.0014050224783785426,0,0,cuRobo,both_success
831,1,1,0.0452066524253,8.107707313408006e-05,0.178011832979,8.954453545231654e-06,0,0,cuRobo,both_success
832,1,1,0.0480877826406,0.00034733526409291013,0.0523481523185,7.636383641665695e-06,0,0,cuRobo,both_success
833,1,1,0.468208852804,0.00012308651106089223,0.493934084867,1.0386604689550578e-05,0,0,cuRobo,both_success
834,1,1,0.227043725529,4.0620677574339864e-05,0.0181391632318,4.829673078902934e-06,0,0,cuRobo,both_success
835,1,1,0.634894295722,0.00011513397105600737,0.0452629400067,2.456732739880241e-05,0,0,cuRobo,both_success
836,1,1,0.102187471034,3.6348310714832e-05,0.0260536500973,8.954453545231654e-06,0,0,cuRobo,both_success
837,1,1,1.10218758933,0.00010091171900502815,0.113280742979,7.443026089337887e-06,0,0,cuRobo,both_success
838,1,1,0.0491020240375,6.368963392007478e-05,0.00466296477948,8.18910913293408e-06,0,0,cuRobo,both_success
839,1,1,0.0467568768089,0.00010716469116241905,0.190615976536,6.037091348628668e-06,0,0,cuRobo,both_success
840,1,1,0.0628730406937,5.426636339673558e-05,0.000597778960151,6.9360898910140305e-06,0,0,cuRobo,both_success
841,1,1,0.065351137967,6.853160184287947e-05,0.00929254203046,4.182619578303747e-06,0,0,cuRobo,both_success
842,1,1,0.0512679064418,4.997742039248829e-05,0.00739285884829,1.1768457563181822e-05,0,0,cuRobo,both_success
843,1,1,0.243270049284,7.07371840154752e-05,0.0398528314673,4.676310850554341e-06,0,0,cuRobo,both_success
844,1,1,0.1051885694,0.003916122795516408,0.0123479720691,0.0006764398545103368,0,0,cuRobo,both_success
845,1,1,0.0276439553712,8.041942794254222e-05,0.00705041493696,5.7905745997743736e-06,0,0,cuRobo,both_success
846,1,1,0.013063074763,0.0032589882346067476,0.568791797106,0.00025883567130846776,0,0,cuRobo,both_success
847,1,1,0.159445687305,8.586714825167853e-05,0.00181632221041,1.3004292747236537e-05,0,0,cuRobo,both_success
848,1,1,0.0143429908377,7.819663352523636e-05,0.00192731813517,8.365239156607499e-06,0,0,cuRobo,both_success
849,1,0,0.0598761683841,31.872054294962364,0.0122873603544,1.0279830428706977,0,0,CUDA,cuda_success_curobo_fail
850,1,1,0.071346056468,1.4431862013150123,0.00510752765968,0.4565138426878665,0,0,CUDA,both_success
851,1,1,0.613456526213,6.069579769683871e-05,0.0180802402175,5.6632936810203185e-06,0,0,cuRobo,both_success
852,1,1,2.57521261494,0.17971159565215952,0.566956087908,0.007141724645402459,0,0,cuRobo,both_success
853,1,1,0.0210311416929,9.436033335173524e-05,0.0158198490521,5.915117333884395e-06,0,0,cuRobo,both_success
854,1,0,0.0727855130174,10.698720187775365,0.00208452311533,1.5613914534728484,0,0,CUDA,cuda_success_curobo_fail
855,1,1,2.85079182305,6.957535436449177e-05,0.00631375228534,6.9360898910140305e-06,0,0,cuRobo,both_success
